항목,내용,공개
공지안내,"터틀 짐 피트니스 센터 이용안내

저희 피트니스 센터에서 제공해 드리는 기본 서비스에 대하여 안내해 드립니다.
추가적인 문의사항은 게시판을 이용하여 문의하여 주시면 안내해 드리도록 하겠습니다. 감사합니다.",Y
시설안내,"Weight machine
- Chest press 2
- Shoulder press
- Pectoral fly
- Seated Row
- Assist chin&dip
- Lat pull down 2
- Hip abduction
- Lying leg curl
- Leg extenion
- Leg press
- Dipping machine
- Arm curl
- Row row
",Y
장소안내,"터틀짐 피트니스 센트는 서울 마포구 백범로 23 터틀프라자 3층과 4층에 위치하고 있습니다. 2호선 신촌역, 6호선 대흥역, 경의 중앙선 서강대역에서 오시면 편리합니다. ",Y
프로그램 ,"- 퍼스널 트레이닝(PT) : 전문가의 1:1 운동 프로그램
- 에어로빅 : 저충격, 고급, 혼합 에어로빅
- 스피닝 : 실내 사이클링 ",Y
요금안내,"피트니스 센터는
1개월 : 15만원
3개월 : 35만원
6개월 : 60만원
1년 : 90만원

PT, 프로그램은 별도로 문의하여 주시기 바랍니다.",Y
운영시간,"짐 센터 운영 시간은 다음과 같습니다.
평일 오전 6시~오후 11시
토요일 오전 6시~오후 8시
일요일, 공휴일은 휴무입니다.",Y
예약안내,"트레이너와 PT 예약을 원하시면 다음과 같이 예약하실 수 있습니다.
- 전화 예약 : 02-365-7012
- 이메일 예약 : manager1@starcalifitness.com
- 챗 메시지 예약 ",Y
문의안내,문의사항이 있으시면 1:1 게시판을 이용하여 주시기 바랍니다.,Y
,거구장 회원에 가입하시면 더 많은 혜택과 함께 전문 트레이너로부터 개인화 된 서비스를 받을 수 있습니다. 감사합니다.,Y
회원가입안내,타틀짐 회원에 가입하시면 프로그램 이용시 할인 혜택과 서비스에 대한 안내를 받아 보실 수 있습니다.,Y
